"participant","age","sex","Trial","targetWord","formantZ","FormantType","location"
"PP10",22,"M",19,"WET",0.332129347594959,"F1","lab"
"PP10",22,"M",20,"VET",0.659905787131342,"F1","lab"
"PP10",22,"M",21,"ZET",-1.23291575869032,"F1","lab"
"PP10",22,"M",22,"NET",NA,"F1","lab"
"PP10",22,"M",23,"PET",0.831662283698642,"F1","lab"
"PP10",22,"M",24,"BED",-0.0351352947020734,"F1","lab"
"PP10",22,"M",49,"PET",0.533956387581683,"F1","lab"
"PP10",22,"M",50,"NET",-3.22007521007509,"F1","lab"
"PP10",22,"M",51,"ZET",NA,"F1","lab"
"PP10",22,"M",52,"WET",0.59137137465671,"F1","lab"
"PP10",22,"M",53,"BED",NA,"F1","lab"
"PP10",22,"M",54,"VET",NA,"F1","lab"
"PP10",22,"M",55,"WET",NA,"F1","lab"
"PP10",22,"M",56,"BED",NA,"F1","lab"
"PP10",22,"M",57,"NET",NA,"F1","lab"
"PP10",22,"M",58,"PET",NA,"F1","lab"
"PP10",22,"M",59,"VET",1.00209731131903,"F1","lab"
"PP10",22,"M",60,"ZET",NA,"F1","lab"
"PP10",22,"M",61,"ZET",NA,"F1","lab"
"PP10",22,"M",62,"VET",1.10906304503082,"F1","lab"
"PP10",22,"M",63,"WET",NA,"F1","lab"
"PP10",22,"M",64,"NET",-3.03592238283236,"F1","lab"
"PP10",22,"M",65,"BED",NA,"F1","lab"
"PP10",22,"M",66,"PET",NA,"F1","lab"
"PP10",22,"M",67,"WET",NA,"F1","lab"
"PP10",22,"M",68,"ZET",NA,"F1","lab"
"PP10",22,"M",69,"BED",NA,"F1","lab"
"PP10",22,"M",70,"NET",NA,"F1","lab"
"PP10",22,"M",71,"VET",NA,"F1","lab"
"PP10",22,"M",72,"PET",NA,"F1","lab"
"PP10",22,"M",73,"BED",NA,"F1","lab"
"PP10",22,"M",74,"PET",NA,"F1","lab"
"PP10",22,"M",75,"NET",-2.1808101169449,"F1","lab"
"PP10",22,"M",76,"ZET",NA,"F1","lab"
"PP10",22,"M",77,"VET",NA,"F1","lab"
"PP10",22,"M",78,"WET",NA,"F1","lab"
"PP10",22,"M",79,"VET",NA,"F1","lab"
"PP10",22,"M",80,"PET",NA,"F1","lab"
"PP10",22,"M",81,"ZET",NA,"F1","lab"
"PP10",22,"M",82,"WET",NA,"F1","lab"
"PP10",22,"M",83,"BED",NA,"F1","lab"
"PP10",22,"M",84,"NET",NA,"F1","lab"
"PP10",22,"M",85,"NET",-3.2252996146541,"F1","lab"
"PP10",22,"M",86,"PET",NA,"F1","lab"
"PP10",22,"M",87,"VET",NA,"F1","lab"
"PP10",22,"M",88,"ZET",NA,"F1","lab"
"PP10",22,"M",89,"WET",0.605375814662242,"F1","lab"
"PP10",22,"M",90,"BED",NA,"F1","lab"
"PP10",22,"M",91,"NET",-0.317630862548136,"F1","lab"
"PP10",22,"M",92,"WET",NA,"F1","lab"
"PP10",22,"M",93,"PET",NA,"F1","lab"
"PP10",22,"M",94,"BED",NA,"F1","lab"
"PP10",22,"M",95,"VET",NA,"F1","lab"
"PP10",22,"M",96,"ZET",0.216136384081694,"F1","lab"
"PP11",31,"M",97,"ZET",-0.964073568296039,"F1","lab"
"PP11",31,"M",98,"PET",-1.71722194163967,"F1","lab"
"PP11",31,"M",99,"BED",-1.93271225434757,"F1","lab"
"PP11",31,"M",100,"VET",-0.946237153141188,"F1","lab"
"PP11",31,"M",101,"NET",-3.39643835583808,"F1","lab"
"PP11",31,"M",102,"WET",-1.4415108084259,"F1","lab"
"PP11",31,"M",103,"WET",-1.5562560354731,"F1","lab"
"PP11",31,"M",104,"BED",-2.39520308655423,"F1","lab"
"PP11",31,"M",105,"VET",-1.5600888157475,"F1","lab"
"PP11",31,"M",106,"ZET",0.797763394960213,"F1","lab"
"PP11",31,"M",107,"NET",-3.41833428213362,"F1","lab"
"PP11",31,"M",108,"PET",1.59440649707338,"F1","lab"
"PP11",31,"M",109,"NET",NA,"F1","lab"
"PP11",31,"M",110,"VET",-0.22131740842976,"F1","lab"
"PP11",31,"M",111,"WET",-0.0674751586066452,"F1","lab"
"PP11",31,"M",112,"PET",1.32184426011869,"F1","lab"
"PP11",31,"M",113,"ZET",-0.944147325563595,"F1","lab"
"PP11",31,"M",114,"BED",0.0853390531641338,"F1","lab"
"PP11",31,"M",25,"VET",-0.212174130725823,"F1","lab"
"PP11",31,"M",26,"WET",0.0667076551921133,"F1","lab"
"PP11",31,"M",27,"ZET",-0.933469365154258,"F1","lab"
"PP11",31,"M",28,"BED",0.512763769828812,"F1","lab"
"PP11",31,"M",29,"NET",NA,"F1","lab"
"PP11",31,"M",30,"PET",0.882168459285045,"F1","lab"
"PP11",31,"M",31,"WET",0.492192051959136,"F1","lab"
"PP11",31,"M",32,"NET",-2.45220547680354,"F1","lab"
"PP11",31,"M",33,"VET",-1.75598962472709,"F1","lab"
"PP11",31,"M",34,"ZET",-0.49231717508279,"F1","lab"
"PP11",31,"M",35,"BED",-1.1786316337931,"F1","lab"
"PP11",31,"M",36,"PET",-0.154211616122366,"F1","lab"
"PP11",31,"M",37,"NET",-0.366404989232582,"F1","lab"
"PP11",31,"M",38,"PET",0.793288014055416,"F1","lab"
"PP11",31,"M",39,"ZET",-1.47072327491651,"F1","lab"
"PP11",31,"M",40,"VET",-1.18646667505977,"F1","lab"
"PP11",31,"M",41,"BED",-0.00783989799221645,"F1","lab"
"PP11",31,"M",42,"WET",0.409003436575171,"F1","lab"
"PP11",31,"M",43,"NET",-2.35274782849668,"F1","lab"
"PP11",31,"M",44,"VET",-0.213932732770039,"F1","lab"
"PP11",31,"M",45,"ZET",-0.489108356347883,"F1","lab"
"PP11",31,"M",46,"BED",-0.229510645551432,"F1","lab"
"PP11",31,"M",47,"WET",-0.372202715716586,"F1","lab"
"PP11",31,"M",48,"PET",-2.94433032382109,"F1","lab"
"PP11",31,"M",1,"VET",0.560552070651765,"F1","lab"
"PP11",31,"M",2,"BED",0.181056929833492,"F1","lab"
"PP11",31,"M",3,"PET",1.11757378890274,"F1","lab"
"PP11",31,"M",4,"WET",0.775111025652454,"F1","lab"
"PP11",31,"M",5,"ZET",-0.319000889771676,"F1","lab"
"PP11",31,"M",6,"NET",NA,"F1","lab"
"PP11",31,"M",7,"NET",-0.298382677867403,"F1","lab"
"PP11",31,"M",8,"BED",0.528813184792187,"F1","lab"
"PP11",31,"M",9,"WET",0.104731602938074,"F1","lab"
"PP11",31,"M",10,"ZET",-0.574646201481435,"F1","lab"
"PP11",31,"M",11,"PET",0.292245322886968,"F1","lab"
"PP11",31,"M",12,"VET",-0.655347964109382,"F1","lab"
"PP11",31,"M",13,"PET",1.54595578076194,"F1","lab"
"PP11",31,"M",14,"VET",-0.991629020140061,"F1","lab"
"PP11",31,"M",15,"ZET",-0.419976998483635,"F1","lab"
"PP11",31,"M",16,"NET",-2.33635656908455,"F1","lab"
"PP11",31,"M",17,"WET",0.0026947428882886,"F1","lab"
"PP11",31,"M",18,"BED",0.938905984358863,"F1","lab"
"PP11",31,"M",19,"WET",-0.119903438230672,"F1","lab"
"PP11",31,"M",20,"VET",-1.28442294831732,"F1","lab"
"PP11",31,"M",21,"ZET",0.9413920566713,"F1","lab"
"PP11",31,"M",22,"NET",-1.98004242208986,"F1","lab"
"PP11",31,"M",23,"PET",0.735902020682441,"F1","lab"
"PP11",31,"M",24,"BED",1.25477461855549,"F1","lab"
"PP11",31,"M",49,"PET",-2.21331084897103,"F1","lab"
"PP11",31,"M",50,"NET",-2.15110229893652,"F1","lab"
"PP11",31,"M",51,"ZET",NA,"F1","lab"
"PP11",31,"M",52,"WET",NA,"F1","lab"
"PP11",31,"M",53,"BED",-0.306659275786234,"F1","lab"
"PP11",31,"M",54,"VET",0.779668658696004,"F1","lab"
